source,method,metric,kind,n,value,observed_std,ci_low,ci_high,n_draws,combo_id,cohort,cancer,cancer_prefix,norm,model,off_aug,batch,data_type,model_type,title
real,LOGIS,f1_score,fitted,43.55555555555556,0.5334796040602043,,0.5305095254847856,0.5364496826356231,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
real,LOGIS,f1_score,fitted,44.09090909090909,0.5343377719303533,,0.5313993102713233,0.5372762335893833,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
real,LOGIS,f1_score,fitted,44.62626262626263,0.5351855775294041,,0.5322857863788965,0.5380853686799117,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
real,LOGIS,f1_score,fitted,45.161616161616166,0.5360232680624222,,0.533155093828433,0.5388914422964114,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
real,LOGIS,f1_score,fitted,45.696969696969695,0.5368510819933192,,0.5340215782677576,0.5396805857188808,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
real,LOGIS,f1_score,fitted,46.23232323232323,0.5376692494520512,,0.534867897971224,0.5404706009328784,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
real,LOGIS,f1_score,fitted,46.76767676767677,0.5384779926185388,,0.5357082580539769,0.5412477271831007,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
real,LOGIS,f1_score,fitted,47.303030303030305,0.5392775260846463,,0.5365429352326238,0.5420121169366688,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
real,LOGIS,f1_score,fitted,47.838383838383834,0.5400680571958105,,0.5373616185885497,0.5427744958030714,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
real,LOGIS,f1_score,fitted,48.37373737373737,0.5408497863736557,,0.5381713757624725,0.5435281969848388,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
real,LOGIS,f1_score,fitted,48.90909090909091,0.5416229074209582,,0.5389761758500566,0.5442696389918598,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
real,LOGIS,f1_score,fitted,49.44444444444444,0.5423876078097862,,0.5397690284837994,0.5450061871357731,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
real,LOGIS,f1_score,fitted,49.97979797979798,0.543144068954291,,0.5405535797482541,0.5457345581603279,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
real,LOGIS,f1_score,fitted,50.515151515151516,0.543892466468975,,0.5413301295077843,0.5464548034301658,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
